city_name,city_country,name,type,cost,duration_mins,description,image_url
Rio de Janeiro,Brazil,Sugarloaf Mountain Cable Car,sightseeing,35,90,Two-stage cable car ride with panoramic views of Rio,
Rio de Janeiro,Brazil,Samba Show and Dinner,nightlife,65,150,Live samba performance with a traditional Brazilian dinner,
Rio de Janeiro,Brazil,Copacabana Beach Surf Lesson,adventure,45,90,Beginner surf lesson on Copacabana Beach,
Amsterdam,Netherlands,Anne Frank House Tour,culture,16,90,Guided visit to the historic hiding place and museum,
Amsterdam,Netherlands,Canal Cruise with Cheese and Wine,sightseeing,30,90,Evening canal cruise with local cheese and wine tasting,
Amsterdam,Netherlands,Van Gogh Museum Entry,culture,22,120,Self-guided visit to the world's largest Van Gogh collection,
Amsterdam,Netherlands,Bike Tour of Amsterdam,adventure,35,150,Guided bike tour through the city's canals and parks,
Istanbul,Turkey,Hagia Sophia and Blue Mosque Tour,sightseeing,30,150,Guided tour of two of Istanbul's most iconic landmarks,
Istanbul,Turkey,Grand Bazaar Shopping Walk,other,0,120,Self-guided exploration of one of the world's oldest covered markets,
Istanbul,Turkey,Bosphorus Sunset Cruise,sightseeing,25,90,Evening cruise along the Bosphorus strait,
Istanbul,Turkey,Turkish Cooking Class,food,55,150,Hands-on class making traditional Turkish dishes,
Denpasar,Indonesia,Ubud Rice Terrace and Temple Tour,sightseeing,30,240,Full-day tour of Tegallalang rice terraces and Hindu temples,
Denpasar,Indonesia,Balinese Cooking Class,food,40,180,Hands-on class making traditional Balinese dishes from a local market,
Denpasar,Indonesia,Mount Batur Sunrise Trek,adventure,55,300,Guided pre-dawn hike to watch sunrise from an active volcano,
Denpasar,Indonesia,Traditional Balinese Spa,other,35,90,Full-body massage and flower bath at a traditional spa,
Kyoto,Japan,Fushimi Inari Shrine Walk,sightseeing,0,120,Self-guided hike through thousands of iconic red torii gates,
Kyoto,Japan,Arashiyama Bamboo Grove Tour,sightseeing,20,90,Guided walk through Kyoto's famous bamboo forest,
Kyoto,Japan,Traditional Tea Ceremony,culture,45,60,Hands-on introduction to Japanese tea ceremony traditions,
Kyoto,Japan,Gion District Evening Walk,culture,40,120,Evening guided walk through Kyoto's historic geisha district,
Prague,Czech Republic,Prague Castle Guided Tour,sightseeing,25,150,Guided tour of the largest ancient castle complex in the world,
Prague,Czech Republic,Charles Bridge Walking Tour,sightseeing,0,90,Self-guided walk across Prague's iconic medieval bridge,
Prague,Czech Republic,Czech Beer Tasting Tour,food,35,120,Guided tasting tour through Prague's traditional beer halls,
Prague,Czech Republic,Old Town Astronomical Clock Tour,culture,15,60,Guided tour explaining the history of Prague's medieval clock,
Marrakech,Morocco,Jemaa el-Fnaa Night Market Tour,other,20,120,Guided evening walk through Marrakech's famous main square,
Marrakech,Morocco,Atlas Mountains Day Trip,adventure,50,360,Full-day excursion to Berber villages in the Atlas Mountains,
Marrakech,Morocco,Moroccan Cooking Class,food,40,180,Hands-on class making tagine and couscous with a local chef,
Marrakech,Morocco,Traditional Hammam Spa,other,30,90,Traditional Moroccan bathhouse experience with scrub and massage,
Reykjavik,Iceland,Golden Circle Day Tour,sightseeing,75,480,Full-day tour of Thingvellir geysers and Gullfoss waterfall,
Reykjavik,Iceland,Blue Lagoon Spa Entry,other,65,150,Entry to Iceland's famous geothermal spa,
Reykjavik,Iceland,Northern Lights Hunting Tour,adventure,70,240,Guided evening tour to spot the aurora borealis,
Reykjavik,Iceland,Reykjavik Whale Watching,adventure,85,180,Boat tour to spot whales and dolphins off Iceland's coast,
Vancouver,Canada,Capilano Suspension Bridge Park,sightseeing,45,150,Walk across a suspension bridge high above a rainforest canyon,
Vancouver,Canada,Stanley Park Bike Tour,adventure,30,120,Guided bike tour around Vancouver's famous seawall park,
Vancouver,Canada,Granville Island Food Tour,food,50,120,Guided tasting tour through Granville Island's public market,
Vancouver,Canada,Grouse Mountain Gondola,sightseeing,55,150,Gondola ride up Grouse Mountain with city and mountain views,
Buenos Aires,Argentina,Tango Show and Dinner,nightlife,70,180,Live tango performance with a traditional Argentine dinner,
Buenos Aires,Argentina,La Boca and Caminito Walking Tour,sightseeing,20,120,Guided walk through Buenos Aires' colorful historic port district,
Buenos Aires,Argentina,Argentine Steakhouse Dinner,food,55,120,Traditional parrilla dinner featuring grass-fed Argentine beef,
Buenos Aires,Argentina,Recoleta Cemetery Guided Tour,culture,15,90,Guided tour through the elaborate mausoleums of Recoleta Cemetery,
Cairo,Egypt,Great Pyramids of Giza Tour,sightseeing,40,240,Guided tour of the Pyramids of Giza and the Great Sphinx,
Cairo,Egypt,Egyptian Museum Guided Tour,culture,30,150,Guided tour through ancient Egyptian artifacts including Tutankhamun's treasures,
Cairo,Egypt,Nile River Dinner Cruise,food,50,150,Evening cruise on the Nile with dinner and a folkloric show,
Cairo,Egypt,Khan el-Khalili Bazaar Walk,other,0,120,Self-guided exploration of Cairo's historic marketplace,
Seoul,South Korea,Gyeongbokgung Palace Tour,sightseeing,15,120,Guided tour of Seoul's grandest royal palace,
Seoul,South Korea,Myeongdong Street Food Tour,food,35,120,Guided tasting walk through Seoul's famous street food district,
Seoul,South Korea,Korean BBQ and Soju Night,food,45,120,Traditional Korean barbecue dinner with soju tasting,
Seoul,South Korea,DMZ Border Tour,culture,80,360,Guided day tour to the Korean Demilitarized Zone,
Lisbon,Portugal,Belem Tower and Monastery Tour,sightseeing,20,150,Guided tour of Lisbon's iconic riverside landmarks,
Lisbon,Portugal,Tram 28 Historic Ride,sightseeing,3,60,Ride the historic yellow tram through Lisbon's old neighborhoods,
Lisbon,Portugal,Fado Music Dinner Show,culture,55,120,Traditional Portuguese Fado music performance with dinner,
Lisbon,Portugal,Sintra Day Trip,sightseeing,50,300,Full-day excursion to the fairy-tale palaces of Sintra,
Santorini,Greece,Oia Sunset Sailing Cruise,sightseeing,90,300,Catamaran cruise along the caldera ending with sunset in Oia,
Santorini,Greece,Akrotiri Archaeological Site Tour,culture,25,90,Guided tour of a preserved Bronze Age settlement,
Santorini,Greece,Santorini Wine Tasting Tour,food,60,180,Guided tour of volcanic vineyards with wine tasting,
Santorini,Greece,Red Beach and Fira Walking Tour,sightseeing,0,120,Self-guided walk along Santorini's volcanic red sand beach,
